Time;Open;High;Low;Close;Volume;Marketcap
Apr 13, 2011;0.799;0.7997;0.7648;0.7925;49287.06625;0
Apr 14, 2011;0.7925;0.795;0.766;0.7897;39394.70685;0
Apr 15, 2011;0.7897;0.801;0.768;0.7846;64121.84553;0
Apr 16, 2011;0.7846;0.797;0.7741;0.7741;37294.92314;0
Apr 17, 2011;0.7741;0.7998;0.7741;0.782;34083.1202;0
Apr 18, 2011;0.782;0.7949;0.777;0.779;42331.19384;0
Apr 19, 2011;0.779;0.785;0.5619;0.68;22164.70588;0
Apr 20, 2011;0.68;0.7478;0.58;0.71;33077.46479;0
Apr 21, 2011;0.71;0.75;0.6902;0.74;63729.72973;0
Apr 22, 2011;0.74;0.7849;0.7205;0.7538;73213.05386;0
Apr 23, 2011;0.7538;0.799;0.7309;0.75;151005.3333;0
Apr 24, 2011;0.75;0.7676;0.7205;0.73;47210.9589;0
Apr 25, 2011;0.73;0.7589;0.71;0.7369;29246.84489;0
Apr 26, 2011;0.7369;0.799;0.7103;0.77;56220.77922;0
Apr 27, 2011;0.77;0.899;0.7703;0.86;73039.53488;0
Apr 28, 2011;0.86;1;0.86;0.9225;239054.7425;0
Apr 29, 2011;0.9225;1;0.91;1;166982;0
Apr 30, 2011;1;1.09;0.911;0.9899;231341.5497;0
May 01, 2011;0.9899;1.095;0.9541;1.05;130771.4286;0
May 02, 2011;1.05;1.14;1.026;1.112;52748.20144;0
May 03, 2011;1.112;1.2;1.11;1.162;49507.74527;0
May 04, 2011;1.162;1.198;1.144;1.198;49041.73623;0
May 05, 2011;1.198;1.198;1.13;1.142;44356.39229;0
May 06, 2011;1.142;1.21;1.14;1.21;66586.77686;0
May 07, 2011;1.21;1.41;1.189;1.409;45555.71327;0
May 08, 2011;1.409;1.95;1.32;1.7;48474.70588;0
May 09, 2011;1.7;1.95;1.6;1.63;26856.44172;0
May 10, 2011;1.63;1.701;1.521;1.559;209157.152;0
May 11, 2011;1.559;1.795;1.53;1.795;161077.9944;0
May 12, 2011;1.795;1.95;1.72;1.9;105176.8421;0
May 13, 2011;1.9;2.65;1.66;2.211;237358.6612;0
May 14, 2011;2.211;2.95;2.21;2.88;138475;0
May 15, 2011;2.88;4.15;2.75;3.5;36600;0
May 16, 2011;3.5;3.87;2.5;3.033;116425.9809;0
May 17, 2011;3.033;3.495;3.029;3.2;79537.5;0
May 18, 2011;3.2;3.49;3.11;3.41;51395.89443;0
May 19, 2011;3.41;3.58;3.25;3.406;48793.89313;0
May 20, 2011;3.406;3.45;3.333;3.333;74700.27003;0
May 21, 2011;3.333;3.61;3.29;3.45;55006.08696;0
May 22, 2011;3.45;3.7;3.425;3.641;43924.4713;0
May 23, 2011;3.641;3.937;3.63;3.866;65705.12157;0
May 24, 2011;3.866;3.9;3.691;3.8;57018.94737;0
May 25, 2011;3.8;5.99;3.81;5.81;92602.40964;0
May 26, 2011;5.81;6.065;4.6;5.5;45840;0
May 27, 2011;5.5;6.49;5.22;6.3;19469.04762;0
May 28, 2011;6.3;8.45;6.32;8.198;12402.41522;0
May 29, 2011;8.198;8.9;5.83;7.198;8740.761323;0
May 30, 2011;7.198;7.78;6.2;6.987;22267.6399;0
May 31, 2011;6.987;8.5;6.75;8.034;49585.88499;0
Jun 01, 2011;8.034;8.389;6.98;7.19;58053.96384;0
Jun 02, 2011;7.19;7.5;6.6;6.88;63245.63953;0
Jun 03, 2011;6.88;7.34;6.607;6.805;153359.8824;0
Jun 04, 2011;6.805;7.1;5.577;5.59;150388.551;0
Jun 05, 2011;5.59;6.52;5.577;6.12;66254.24837;0
Jun 06, 2011;6.12;6.759;5.99;6.69;152341.5546;0
Jun 07, 2011;6.69;7.45;6.69;7.15;179567.5524;0
Jun 08, 2011;7.15;7.51;6.96;7.42;418588.6792;0
Jun 09, 2011;7.42;9.33;7.216;8.4;216509.1667;0
Jun 10, 2011;8.4;8.987;8.01;8.798;251538.9861;0
Jun 11, 2011;8.798;8.83;8.5;8.5;209329.6471;0
Jun 12, 2011;8.5;8.7;8.11;8.3;336989.759;0
Jun 13, 2011;8.3;8.49;8.102;8.43;172445.5516;0
Jun 14, 2011;8.43;9;8.25;8.8;79305.45455;0
Jun 15, 2011;8.8;9.5;8.1;8.741;61817.29779;0
Jun 16, 2011;8.741;9.699;8.3;9.57;87398.11912;0
Jun 17, 2011;9.57;10.89;9.5;10.6;160880.566;0
Jun 18, 2011;10.6;14.5;10.58;14.29;42031.21064;0
Jun 19, 2011;14.29;18.89;14.04;18.89;27959.23769;0
Jun 20, 2011;18.89;19;16.2;16.7;31625.7485;0
Jun 21, 2011;16.7;19.23;16.45;18.55;25957.54717;0
Jun 22, 2011;18.55;24.32;18.26;23.92;18180.39298;0
Jun 23, 2011;23.92;31.91;22.21;29.6;13116.13176;0
Jun 24, 2011;29.6;31.5;26.15;28.92;11811.89488;0
Jun 25, 2011;28.92;29.4;20.01;23.95;12315.762;0
Jun 26, 2011;23.95;23.99;13;14.65;16950.51195;0
Jun 27, 2011;14.65;24.99;10.25;18.55;28483.01887;0
Jun 28, 2011;18.55;24.5;16;19.84;20907.25806;0
Jun 29, 2011;19.84;20.5;18;19.28;18442.73859;0
Jun 30, 2011;19.28;20;19.02;19.49;28879.22011;0
Jul 01, 2011;19.49;19.89;17;17;30147.76471;0
Jul 02, 2011;17;18.34;13;15.68;19102.67857;0
Jul 03, 2011;15.68;16.95;15.05;16.89;15308.82179;0
Jul 04, 2011;16.89;18.88;16.85;17.51;41501.54198;0
Jul 05, 2011;17.51;17.51;17.51;17.51;61943.5751;0
Jul 06, 2011;17.51;17.51;17.51;17.51;94513.76356;0
Jul 07, 2011;17.51;17.51;17.51;17.51;46039.74872;0
Jul 08, 2011;17.51;17.51;17.51;17.51;28461.16505;0
Jul 09, 2011;17.51;17.51;17.51;17.51;9794.631639;0
Jul 10, 2011;17.51;17.51;17.51;17.51;38530.66819;0
Jul 11, 2011;17.51;17.51;14.01;16.45;42435.98784;0
Jul 12, 2011;16.45;18;15;16.75;22032.23881;0
Jul 13, 2011;16.75;17.52;16.5;16.95;8479.410029;0
Jul 14, 2011;16.95;17.2;16.67;16.85;14672.99703;0
Jul 15, 2011;16.85;17;15.73;16.1;21274.28571;0
Jul 16, 2011;16.1;16.74;15.26;15.4;15354.67532;0
Jul 17, 2011;15.4;15.8;15.27;15.4;29468.57143;0
Jul 18, 2011;15.4;15.69;15.31;15.44;66363.34197;0
Jul 19, 2011;15.44;15.49;13.14;13.86;67775.03608;0
Jul 20, 2011;13.86;15;11;12.91;24598.45081;0
Jul 21, 2011;12.91;16.5;12.67;14.78;23022.46279;0
Jul 22, 2011;14.78;15.9;14.5;14.78;14061.50203;0
Jul 23, 2011;14.78;15.64;13.9;14.31;21502.5856;0
Jul 24, 2011;14.31;14.7;14.02;14.38;25916.55076;0
Jul 25, 2011;14.38;15.68;14.35;14.9;29884.42953;0
Jul 26, 2011;14.9;15.2;13.8;14.21;16423.71569;0
Jul 27, 2011;14.21;14.64;13.9;14.01;11419.62884;0
Jul 28, 2011;14.01;14.15;13.91;13.95;31683.87097;0
Jul 29, 2011;13.95;14.07;13.7;13.99;7005.71837;0
Jul 30, 2011;13.99;14.09;13.5;13.81;5963.070239;0
Jul 31, 2011;13.81;13.81;13.5;13.72;44653.64431;0
Aug 01, 2011;13.72;13.75;13.02;13.16;21650.83587;0
Aug 02, 2011;13.16;13.92;12.51;13.48;51380.11869;0
Aug 03, 2011;13.48;14.7;13.44;13.85;60627.94224;0
Aug 04, 2011;13.85;14;13.4;13.69;39515.85099;0
Aug 05, 2011;13.69;13.78;13.4;13.61;22156.20867;0
Aug 06, 2011;13.61;13.81;13.45;13.7;49336.20438;0
Aug 07, 2011;13.7;13.76;13.51;13.68;51875.5117;0
Aug 08, 2011;13.68;14.1;13.6;13.98;18992.27468;0
Aug 09, 2011;13.98;14.72;13.76;14.05;81473.30961;0
Aug 10, 2011;14.05;14.05;13.77;13.88;17471.18156;0
Aug 11, 2011;13.88;14.13;13.85;13.94;39608.32138;0
Aug 12, 2011;13.94;13.94;13.31;13.49;29288.73239;0
Aug 13, 2011;13.49;13.7;13.33;13.5;22264.88889;0
Aug 14, 2011;13.5;13.63;13.45;13.53;35225.72062;0
Aug 15, 2011;13.53;14.9;12.83;13.35;31728.53933;0
Aug 16, 2011;13.35;13.55;12.85;13.09;12882.35294;0
Aug 17, 2011;13.09;13.1;11.5;12.05;20714.52282;0
Aug 18, 2011;12.05;12.16;8.7;9.26;9575.37797;0
Aug 19, 2011;9.26;11.15;9.27;10.75;36386.23256;0
Aug 20, 2011;10.75;10.99;9.5;9.8;11539.59184;0
Aug 21, 2011;9.8;9.95;5.742;6.55;15043.66412;0
Aug 22, 2011;6.55;9.47;6.01;7.9;51050.63291;0
Aug 23, 2011;7.9;8.16;7.055;7.8;17859.23077;0
Aug 24, 2011;7.8;12.1;7.671;9.99;8532.332332;0
Aug 25, 2011;9.99;10.4;9.5;9.98;53933.16633;0
Aug 26, 2011;9.98;10.5;8.451;9.462;71929.82456;0
Aug 27, 2011;9.462;9.8;8.91;9.461;19997.88606;0
Aug 28, 2011;9.461;10.25;9.28;10.13;21703.45508;0
Aug 29, 2011;10.13;11.24;9.62;10.8;18041.66667;0
Aug 30, 2011;10.8;11.89;10.72;11.15;9289.327354;0
Aug 31, 2011;11.15;11.32;10.81;10.96;14701.64234;0
Sep 01, 2011;10.96;11.1;10.66;10.95;8911.415525;0
Sep 02, 2011;10.95;11.05;10.81;10.83;13356.60203;0
Sep 03, 2011;10.83;11.81;10.83;11.65;5070.815451;0
Sep 04, 2011;11.65;11.69;11.4;11.45;14086.81223;0
